Epoch;Train Loss;Test Loss;Exp_Diff;Train_1;Train_2;Train_3;Train_4;Test_1;Test_2;Test_3;Test_4;Exp_1;Exp_2;Exp_3;Exp_4
1;5.817687132967284;3.33764081183775;2.832700802087784;4.68865852149061;6.180062188896509;6.229846052183911;6.032765916210202;1.8608296977011538;4.161874125291302;3.3979454978314623;3.4970656220766005;4.844411849975586;2.523019319176675;1.1931136795878405;2.770258359611035
2;4.0912749496905825;3.6430692678816845;3.281041248887777;3.4597807573346526;4.313487892439719;4.272525019628139;4.257157745600742;2.2896014786577186;4.369509966946646;2.9142578239755963;4.50111359207615;4.421431541442871;3.983905094861984;2.787557809948921;1.931270549297332
3;3.65802579428657;3.5240540367517883;3.6515121830999853;3.233002604193557;3.824156346003889;3.7954769897566196;3.7473307572984096;1.8314198800585324;2.944744489621166;4.078464804669124;4.584357444526477;5.017375946044922;2.727780609428883;2.2552434572577473;4.6056487196683875
4;3.4063768868658646;2.644229358125464;4.00563270162791;3.1138311119318596;3.6029179158288542;3.448288250192804;3.4417961252117304;1.3036286483033577;3.2960107834185863;3.0406689933676767;2.4817318388425598;5.45572566986084;2.9033647827804083;5.0721697610616685;2.591270592808723
5;3.2326228335128944;2.984592800507418;4.302376568689942;3.0084292422187993;3.3553064371963837;3.306637148760773;3.249126730138775;4.043858696884475;2.5814531661121025;2.6748724657808554;2.336565943781549;7.091104507446289;4.326795845329762;3.7537495845556252;2.037856337428093
6;2.96120693804877;1.818816584749773;2.554517641291022;2.9132515576392377;3.0371988930157365;2.9780895151939135;2.91450806211515;1.3097154654055305;2.027230514167299;1.975472200333465;1.8721288702283734;4.742015838623047;1.7706123954057698;1.1264338627457615;2.579008468389511
7;2.830361471072079;2.3636804039978845;3.713794679641724;2.7875906982955185;2.900706788910436;2.79406619164924;2.8376427994577167;1.3584844993114598;2.9154725024699775;2.817961496504369;2.0153345069527036;4.564932823181152;2.5947474479675288;4.813740274906158;2.8817581725120545
8;2.7033472008754877;1.8665807711297808;2.317167802155018;2.7089481068744528;2.789486437490759;2.6498279720676243;2.6629160174396698;1.264217428966087;2.092218678409313;1.961861081862408;2.0277996574193904;4.678709030151367;1.3014836746454241;1.1056479382514954;2.182830565571785
9;2.5871850868938315;2.0074466368655286;2.8036390073969963;2.6198070746396565;2.604820725029485;2.567440777164504;2.5561444385773138;1.6075321281975246;1.8107194776669524;2.2689154413021564;2.2602049058161287;5.799521446228027;0.8067979913949967;2.239571730643511;2.3686648613214496
10;2.4567826118490057;1.8220087869864523;2.695255651548505;2.5650541198010606;2.4818605945869527;2.3972750754101826;2.37845764986635;1.9727062260461417;1.7893107592168407;1.8093609978709055;1.706421397060506;6.416614532470703;1.328608928322792;1.1845245799422255;1.8512745654582978
11;2.388598468595382;1.763518495138091;2.6623389929533006;2.5061999868497202;2.3902133844297566;2.330543323415114;2.3229334812156415;1.1317185090286954;1.8102590395972937;1.8958634671711807;2.070716564287612;4.936260223388672;0.6449921107292171;2.373706181943417;2.6943974557518957
12;2.3241633677142954;1.6480529922952494;2.5746045012772085;2.4929116183781104;2.3060046109757697;2.249624491747834;2.239166247879158;1.2756547417977966;1.7774653084975482;1.8314933093232737;1.6502329850198532;5.264300346374512;1.3622241076827049;1.4329138159751889;2.238979735076428
13;2.221569576245253;1.3707462195343962;2.6111733628809453;2.376118880164728;2.2126084538741004;2.1403382565695375;2.149153465817249;0.8759147980578527;1.6088474110753819;1.4759993126065878;1.407689623500481;5.2429704666137695;2.218913509547711;0.8587816411256785;2.124027834236622
14;2.163797447502174;2.2074570390332746;2.451504811756313;2.3454153105689746;2.1558824571889614;2.074353572793166;2.0679295613037576;3.4760230194213237;1.5691734338373917;1.4645813324103334;1.6737462532024971;5.69534969329834;1.2645983976125716;1.2373834082484239;1.6086877478659154
15;2.0900484151270473;2.2602032634991267;3.5294649246893823;2.285749377898206;2.0706635261607644;1.9966745129294887;1.9935402592695897;1.1258883071439412;2.850552754855226;2.8108373614781934;1.7720025326139925;5.3213043212890625;3.8729518102854494;3.4870969855785363;1.4365065816044804
16;2.0404178100821166;1.3660493929942583;2.2988183864951135;2.225128359208933;2.0080176848403997;1.947312736321722;1.9692285834291532;1.2086097229641997;1.3864528999667027;1.4006365931908302;1.4558817902895327;4.419134140014648;1.6192299193143849;1.1336101868748658;2.0232992997765544
17;2.0040427391804148;1.430655627988632;2.352522847726941;2.1861174569535424;1.9939380496500028;1.9001463386300832;1.9233550389075613;1.5313380627492446;1.3486611605585395;1.3221391313229751;1.5083656773313394;4.867663383483887;1.4025060302019123;0.9961107280850411;2.143811249136925
18;1.9590796200148097;1.7609479621538404;2.241359970327467;2.1687820847622876;1.9264453732949438;1.8572940095908839;1.8675179487175886;1.8744875780189554;2.034989079355142;1.47673314593036;1.6025373434500008;4.828582763671875;1.4391724505275487;0.9706972599029539;1.7269874072074891
19;1.9527983734737002;1.7589878139589006;2.3078436426445843;2.1489109456447495;1.9296772466273846;1.8630131050272245;1.855099883759036;1.3091902924091554;2.1317755560841305;1.8210301417587367;1.6737847902496636;4.45897102355957;2.340520332604647;1.1497187072038644;1.2821645072102548
20;1.8873463753774022;1.1607610055881246;2.10523969732225;2.096971358192497;1.869042311255674;1.7719045703532852;1.7938928295864194;0.8353553502097953;1.3408000883447853;1.2283752692289505;1.1768581926121247;4.421197891235352;1.4722762599587444;0.9953566247224802;1.5321280133724222
21;1.8510835010095272;1.1845040453015017;2.088709807544947;2.071880408206029;1.8139455762533139;1.7408902448567039;1.758480786015365;1.1423024463152527;1.2089320290696943;1.1942196060068926;1.1914979346129662;4.218536376953125;1.5296406120061878;1.209315737485885;1.3973465037345896
22;1.8176085402638067;1.2422996734872578;2.1392992098443213;2.0393327978482505;1.7935391400347456;1.715619279975946;1.7017029103256875;0.8637823164039384;1.5014679718201827;1.3344023094333572;1.1798637526469795;4.834389686584473;0.8807529174536466;1.3031833040714265;1.5388709312677384
23;1.7814983604036279;1.177366031342265;2.1032330995053057;1.9697387962324977;1.7684840063654335;1.6791162893033345;1.6935487968010472;0.9866667510356895;1.3174783937234054;1.1584963564632007;1.2220428273400146;4.117644309997559;1.3440520951151849;0.9916838169097898;1.9595521759986887
24;1.7560465192752537;1.434019763964483;2.3204449274390937;1.9711823122701404;1.72779699293178;1.6450996895245829;1.6606030054958094;1.1158358570434725;1.3984130206340548;1.7095624065807162;1.449964979690681;4.355833053588867;1.6142004770040514;1.0660140132904043;2.2457321658730516
25;1.7414889828493725;1.0994752234360927;2.440132871568203;1.9503027843528218;1.7164872473433463;1.6403306123854746;1.640256554296307;0.8827730029394201;1.2868696995240743;1.0414690786292706;1.1469104031261117;4.096107482910156;2.398361778855324;1.1208975178003309;2.1451647067070008
26;1.7071178216441578;1.132930845605127;2.0523360022529964;1.8906825080309857;1.6738945181501934;1.636513810973896;1.6131411485993497;1.2785022659625171;1.1421156681520181;1.056458072658025;1.0387633535121956;4.00272274017334;1.3976936124265198;1.0698008030652995;1.7391268533468256
27;1.6951471150945776;1.2361524162304132;2.2302269128710033;1.9160902346265034;1.6676510440525039;1.586582025927901;1.588833100183176;1.1778445276300908;1.3137240317765735;1.2333470946995477;1.215712766962876;4.137660980224609;1.521685904860497;1.1721883916854852;2.089372374713421
28;1.6939770613085179;1.1015246112209491;1.9164659216254956;1.8812219093354807;1.6829918778263602;1.6169150494816007;1.5787214116140165;1.0719369623699246;1.1741618222805004;1.0131840092601376;1.1398154297339056;4.242438316345215;1.0897404885292052;0.8993950837850565;1.4342897978425035
29;1.646755428368145;1.1071636728557512;2.5228684031963353;1.8621020467180103;1.6193753296965843;1.5359013914736404;1.548683365726522;0.7858064549610575;1.1141650127224316;1.2031090626880323;1.2636925048902725;5.155856132507324;1.7789317876100545;0.8344235992431638;2.322262093424798
